number,name,status
6,Python 2.5 Release Schedule,Final
1,Python 2.2 Release Schedule,Final
7,Migrating the Python CVS to Subversion,Final
0,Python 2.4 Release Schedule,Final
5,Migrating from Subversion to Mercurial,Final
3,Python 2.7 Release Schedule,Final
1,Python 2.6 and 3.0 Release Schedule,Final
4,Choosing a distributed VCS for the Python project,Final
3,Python 2.3 Release Schedule,Final
0,Python 2.0 Release Schedule,Final
6,Bug Fix Releases,Superseded
6,Python 2.1 Release Schedule,Final
5,Qualified name for classes and functions,Final
6,Asynchronous IO Support Rebooted: the “asyncio” Module,Final
4,Pickle protocol version 4,Final
0,Python 1.6 Release Schedule,Final
8,futures - execute computations asynchronously,Final
1,A Type Hierarchy for Numbers,Final
4,IP Address Manipulation Library for the Python Standard Library,Final
5,Guidelines for Language Evolution,Superseded
1,Reworking the OS and IO exception hierarchy,Final
9,ABI version tagged .so files,Final
7,PYC Repository Directories,Final
7,Immutable Bytes and Mutable Buffer,Final
8,String representation in Python 3000,Final
5,New Super,Final
2,Extended Iterable Unpacking,Final
4,Exception Chaining and Embedded Tracebacks,Final
0,Using UTF-8 as the default source encoding,Final
1,Extension Module Initialization and Finalization,Final
1,Supporting Non-ASCII Identifiers,Final
6,New I/O,Final
7,Integer Literal Support and Syntax,Final
9,Class Decorators,Final
3,Making PyObject_HEAD conform to standard C,Final
9,Introducing Abstract Base Classes,Final
8,Revising the buffer protocol,Final
5,Metaclasses in Python 3000,Final
4,Renaming iterator.next() to iterator.__next__(),Final
3,Removal of Tuple Parameter Unpacking,Final
2,Bytes literals in Python 3000,Final
5,Make print a function,Final
1,Simple input built-in in Python 3000,Final
0,Catching Exceptions in Python 3000,Final
9,Raising Exceptions in Python 3000,Final
2,Keyword-Only Arguments,Final
7,Function Annotations,Final
8,Standard Library Reorganization,Final
6,"Revamping dict.keys(), .values() and .items()",Final
4,Access to Names in Outer Scopes,Final
1,Advanced String Formatting,Final
5,Deprecate,Final
1,Frame Pointers Everywhere: Enabling System-Level Observability for Python,Final
4,Add frozendict built-in type,Final
4,Adding Zstandard to the standard library,Final
0,Disjoint bases in the type system,Final
2,Project status markers in the simple index,Final
8,Safe external debugger interface for CPython,Final
1,math.integer — submodule for integer-specific mathematics functions,Final
